MMWR,date,alpha_percentage,beta_percentage,delta_percentage,epsilon_percentage,gamma_percentage,omicron_percentage,Alpha_MLST,Beta_MLST,Gamma_MLST,Delta_MLST,Omicron_MLST,Epsilon_MLST
32,2021-08-08,0.00566343,0.0,0.979773463,0.0,0.008090615,0.000809061,0.0004606637925158283,0.0,0.010939024929462332,0.9756319260418411,0.0,0.0
33,2021-08-15,0.003371544,0.0,0.983142279,0.0,0.008091706,0.000674309,0.0,0.0,0.0008051371542921078,0.9814599093873179,0.0,0.0
34,2021-08-22,0.002178649,0.0,0.98983297,0.0,0.003631082,0.000726216,8.14438923221077e-05,0.00014241615322381864,0.00045717927380245775,0.9978863057979303,0.0,0.0006322649036058282
35,2021-08-29,0.000979432,0.0,0.992164545,0.0,0.003917728,0.000979432,4.039814525947579e-05,0.00015511101333379597,0.0001412746593847963,0.979687943398973,0.0,0.00037388762776500913
36,2021-09-05,0.0,0.0,0.995210728,0.0,0.0,0.000957854,0.0,0.0012156224759260128,0.001491123376650791,0.9975257836015659,0.0,0.0
37,2021-09-12,0.0,0.0,0.992907801,0.0,0.0,0.001182033,0.0,0.00016416356985810793,0.00032807076261912873,0.987176209848777,0.0,8.793916048506632e-05
38,2021-09-19,0.0,0.0,0.991097923,0.0,0.0,0.00148368,0.0,0.0,0.0,0.9709041717888572,0.0,0.0
39,2021-09-26,0.0,0.0,0.995744681,0.0,0.0,0.00141844,0.0,0.0,0.0,0.9846866090688348,0.0,0.0
40,2021-10-03,0.0,0.0,0.996789727,0.0,0.0,0.001605136,0.0,0.0,0.0,0.9973895642405736,0.0,0.0
41,2021-10-10,0.0,0.0,0.994219653,0.0,0.0,0.001156069,0.0,0.0,0.0,0.9574390587225257,0.0,0.0
42,2021-10-17,0.0,0.0,0.993489583,0.0,0.0,0.001302083,0.0,0.0,0.0,0.9894230188102898,0.0,0.0
43,2021-10-24,0.0,0.0,0.994714588,0.0,0.0,0.001057082,0.0,0.0,0.0,0.9892124517083541,0.0,0.0
44,2021-10-31,0.0,0.0,0.998624484,0.0,0.0,0.001375516,0.0,0.0,0.0,0.9879420985451024,0.0,0.0
45,2021-11-07,0.0,0.0,0.995459705,0.0,0.0,0.001135074,0.0,0.0,0.0,0.9941269855487838,0.0,0.0
46,2021-11-14,0.0,0.0,0.992376112,0.0,0.0,0.005082592,0.0,0.0,0.0,0.992253563831667,0.0,0.0
47,2021-11-21,0.0,0.0,0.9943101,0.0,0.0,0.004267425,0.0,0.0,0.0,0.9960296388699836,0.0,0.0
48,2021-11-28,0.0,0.0,0.993318486,0.0,0.0,0.003340757,0.0,0.0,0.0,0.9425590732799736,0.0,0.0
49,2021-12-05,0.0,0.0,0.970472441,0.0,0.0,0.027559055,0.0,0.0,0.0,0.9917355940288133,0.0,0.0
50,2021-12-12,0.0,0.0,0.805418719,0.0,0.0,0.187192118,0.0,0.0,0.0,0.9506229764295699,0.04164844562406683,0.0
51,2021-12-19,0.0,0.0,0.381044487,0.0,0.0,0.617021277,0.0,0.0,0.0,0.6578582616418331,0.28581497034940323,0.0
52,2021-12-26,0.0,0.0,0.131072411,0.0,0.0,0.863428048,0.0010834679871322558,0.0,0.0,0.3177540615312275,0.6300086828411808,0.0
1,2022-01-02,0.0,0.0,0.059379217,0.0,0.0,0.937921727,0.0008875668586802842,0.0,0.0,0.15534173639662663,0.8269314689054679,0.0
2,2022-01-09,0.0,0.0,0.026503997,0.0,0.0,0.965502735,0.0,0.0,0.0,0.0885103442007579,0.8876052656052064,0.0
3,2022-01-16,0.0,0.0,0.013374486,0.0,0.0,0.984567901,0.0,0.0,0.0,0.08119719724839267,0.9185320682711696,0.0
4,2022-01-23,0.0,0.0,0.008073818,0.0,0.0,0.985005767,0.0,0.0,0.0,0.06817891978186769,0.9260207159427621,0.0
5,2022-01-30,0.0,0.0,0.00152207,0.0,0.0,0.991628615,0.0,0.0,0.0,0.022898692054256386,0.9727637944021724,0.0
6,2022-02-06,0.0,0.0,0.002879079,0.0,0.0,0.984644914,0.0,0.0,0.0,0.018832796521029177,0.9701557660906878,0.0
7,2022-02-13,0.0,0.0,0.001515152,0.0,0.0,0.995454545,0.0,0.0,0.0,0.01150700364154628,0.9909836074870292,0.0
8,2022-02-20,0.0,0.0,0.0,0.0,0.0,0.996007984,0.0,0.0,0.0,0.004094296772093507,0.9767169184253637,0.0
