Variant,Spearman_rs,CBB_95%_CI
All,0.923,0.832 - 0.963
Delta_21A,0.899,0.718 - 0.963
Delta_21A_level_1,0.899,0.715 - 0.964
Delta_21I,0.892,0.725 - 0.958
Delta_21I_level_1,0.892,0.729 - 0.960
Delta_21I_level_2,0.324,-0.074 - 0.699
Delta_21J,0.959,0.876 - 0.983
Delta_21J_level_1,0.944,0.824 - 0.975
Delta_21J_level_2,0.903,0.695 - 0.951
